Male Electors,Male Voters,Female Electors,Female Voters,Total Electors,Total Voters
931603,600271,761642,456731,1693245,1057002
829446,589901,714796,505959,1544242,1095860
971956,632847,792432,480537,1764388,1113384
850681,582774,654494,421489,1505175,1004263
1333051,782170,1024495,560150,2357546,1342320
1105855,690761,880262,508477,1986117,1199238
930831,549484,805616,460226,1736447,1009710
965995,596785,827131,467572,1793126,1064357
969908,596931,789019,452342,1758927,1049273
931615,619091,750645,457777,1682260,1076868
1003777,622009,810962,448391,1814739,1070400
877271,565971,703311,401997,1580582,967968
902514,643433,734224,461173,1636738,1104606
900568,580173,752497,419092,1653065,999265
856974,520292,720483,405989,1577457,926281
978040,595491,791105,432103,1769145,1027594
917060,572792,736517,422849,1653577,995641
911410,575414,752671,442477,1664081,1017891
903420,586205,767731,464342,1671151,1050547
1100020,664459,879274,465382,1979294,1129841
904863,606301,774603,471567,1679466,1077868
846798,605309,711241,454962,1558039,1060271
837981,582088,712282,444884,1550263,1026972
939831,565543,774556,407351,1714387,972894
948290,590503,777295,407811,1725585,998314
1194396,674580,969996,527023,2164392,1201603
995313,638688,842881,477900,1838194,1116588
1052171,582227,897785,451556,1949956,1033783
857875,437735,737079,387401,1594954,825136
890595,461365,779248,413260,1669843,874625
910349,499378,793349,465603,1703698,964981
923668,457693,792957,436763,1716625,894456
891934,560566,721847,410111,1613781,970677
938271,530688,768966,408916,1707237,939604
1000007,629781,808882,484679,1808889,1114460
889345,485765,721903,349314,1611248,835079
977662,559901,790961,411474,1768623,971375
1045684,579206,857648,529960,1903332,1109166
1034085,734103,897930,586701,1932015,1320804
949328,548768,788665,426472,1737993,975240
884813,474053,717104,384273,1601917,858326
985922,575050,818855,481638,1804777,1056688
955324,491057,783670,418981,1738994,910038
1063897,541728,849377,418613,1913274,960341
917403,507043,749166,384539,1666569,891582
925946,611206,795336,456962,1721282,1068168
936036,558096,802665,464620,1738701,1022716
923553,541200,795221,493204,1718774,1034404
882776,522627,755869,411636,1638645,934263
928269,527337,783698,416020,1711967,943357
976415,559177,811665,420461,1788080,979638
935168,488241,775659,385491,1710827,873732
961957,490141,799458,444886,1761415,935027
1022508,549746,825105,498788,1847613,1048534
1045430,520999,858897,490650,1904327,1011649
946234,547576,796897,508502,1743131,1056078
1055476,569717,849022,470482,1904498,1040199
930637,505827,750355,444618,1680992,950445
997314,508610,809612,462947,1806926,971557
979644,459744,780466,418133,1760110,877877
906751,456696,754732,441959,1661483,898655
941548,504787,761674,455431,1703222,960218
1040034,547483,851079,492173,1891113,1039656
904632,450367,757105,404382,1661737,854749
973384,573053,794887,369158,1768271,942211
1002938,527542,845904,479601,1848842,1007143
1026789,513121,865180,484781,1891969,997902
983352,529153,818167,457520,1801519,986673
927629,546179,741511,434393,1669140,980572
986224,594293,781262,436392,1767486,1030685
1016000,527290,818598,454262,1834598,981552
938504,557621,782157,450006,1720661,1007627
901163,497152,738398,388721,1639561,885873
712039,403088,640806,373126,1352845,776214
652891,323143,616192,358881,1269083,682024
640059,312965,614269,343560,1254328,656525
857781,590700,753029,510735,1610810,1101435
888328,638871,754545,536821,1642873,1175692
848649,688855,764768,643554,1613417,1332409
755765,619981,715146,603585,1470911,1223566
795704,676450,735765,625667,1531469,1302117
737184,587678,699942,554331,1437126,1142009
724014,564181,663512,544012,1387526,1108193
653848,549173,600649,513880,1254497,1063053
740749,579515,684679,583470,1425428,1162985
692386,546640,654757,545767,1347143,1092407
714890,559542,676766,559542,1391656,1119084
752943,579487,700840,575100,1453783,1154587
782286,652896,729812,634867,1512098,1287763
769981,639431,706802,608483,1476783,1247914
831318,693242,771531,659954,1602849,1353196
796650,661484,744063,622204,1540713,1283688
682366,567820,604856,483310,1287222,1051130
715569,591353,690412,541291,1405981,1132644
774305,665637,738487,603694,1512792,1269331
777768,677519,712828,596252,1490596,1273771
757902,631335,700822,554717,1458724,1186052
772279,659848,716505,605683,1488784,1265531
816259,683496,739655,577800,1555914,1261296
811441,666972,784305,605390,1595746,1272362
890251,627205,795045,540774,1685296,1167979
797437,535236,636548,420542,1433985,955778
802653,621783,702446,503616,1505099,1125399
761951,628832,686681,557195,1448632,1186027
847931,681607,776107,608826,1624038,1290433
836584,697366,793458,651504,1630042,1348870
833629,707525,766664,654409,1600293,1361934
